"ano";"grupo";"id";"team"
2018;"Group D";443;"Argentina"
2018;"Group C";441;"Australia"
2018;"Group G";509;"Belgium"
2018;"Group E";447;"Brazil"
2018;"Group H";476;"Colombia"
2018;"Group E";429;"Costa Rica"
2018;"Group D";463;"Croatia"
2018;"Group C";480;"Denmark"
2018;"Group A";485;"Egypt"
2018;"Group G";497;"England"
2018;"Group C";474;"France"
2018;"Group F";473;"Germany"
2018;"Group D";1000;"Iceland"
2018;"Group B";499;"Iran"
2018;"Group H";477;"Japan"
2018;"Group F";450;"Mexico"
2018;"Group B";468;"Morocco"
2018;"Group D";438;"Nigeria"
2018;"Group G";1001;"Panama"
2018;"Group C";451;"Peru"
2018;"Group H";461;"Poland"
2018;"Group B";504;"Portugal"
2018;"Group A";481;"Russia"
2018;"Group A";436;"Saudi Arabia"
2018;"Group H";448;"Senegal"
2018;"Group E";456;"Serbia"
2018;"Group F";512;"South Korea"
2018;"Group B";454;"Spain"
2018;"Group F";466;"Sweden"
2018;"Group E";508;"Switzerland"
2018;"Group G";464;"Tunisia"
2018;"Group A";498;"Uruguay"
